geonameid	name	latitude	longitude	country	admin1	admin2	population	elevation	gtopo30	timezone
3039163	Sant Julià de Lòria	42.4637237004292	1.49128675460815	AD	Andorra		8022		1045	Europe/Andorra
3040051	Les Escaldes	42.5072869554153	1.53413772583008	AD	Andorra		15853		1350	Europe/Andorra
3040132	la Massana	42.5449866731324	1.51482582092285	AD	Andorra		7211		1257	Europe/Andorra
3040686	Encamp	42.5333333	1.5833333	AD	Encamp		11223		1571	Europe/Andorra
3041204	Canillo	42.5666667	1.6	AD	Canillo		3292		1655	Europe/Andorra
3041563	Andorra la Vella	42.5051514333831	1.51506185531616	AD	Andorra		20430		1011	Europe/Andorra
290594	Umm al Qaywayn	25.5652778	55.5533333	AE	Umm al Qaywayn		44411		8	Asia/Dubai
291074	Ra's al Khaymah	25.7911111	55.9427778	AE	Raʼs al Khaymah		115949		27	Asia/Dubai
291696	Khawr Fakkān	25.3391667	56.3561111	AE	Ash Shāriqah		33575		5	Asia/Dubai
292223	Dubai	25.2522222	55.28	AE	Dubayy		1137347		9	Asia/Dubai
292672	Sharjah	25.3622222	55.3911111	AE	Ash Shāriqah		543733		18	Asia/Dubai
292878	Al Fujayrah	25.1230556	56.3375	AE	Al Fujayrah		62415		15	Asia/Dubai
292913	Al `Ayn	24.1916667	55.7605556	AE	Abū Z̧aby		408733		280	Asia/Dubai
292932	`Ajmān	25.4061111	55.4427778	AE	‘Ajmān		226172		11	Asia/Dubai
292968	Abu Dhabi	24.4666667	54.3666667	AE	Abū Z̧aby		603492		14	Asia/Dubai
1120483	Kūhestān	34.6538889	61.1977778	AF	Herat Province		12087		734	Asia/Kabul
1120487	Tokzār	35.9488889	66.42	AF	Sar-e Pol		12021		1253	Asia/Kabul
1120711	Zendeh Jān	34.3455556	61.7316667	AF	Herat Province		10104		844	Asia/Kabul
1120863	Zarghūn Shahr	32.8472222	68.4458333	AF	Paktīkā		13737		2114	Asia/Kabul
1120879	Zareh Sharan	33.1466667	68.7916667	AF	Paktīkā		7366		2141	Asia/Kabul
1121271	Yengī Qal`eh	37.4672222	69.6091667	AF	Takhār		6541		481	Asia/Kabul
1122408	Tīr Pol	34.5952778	61.2669444	AF	Herat Province		6979		768	Asia/Kabul
1123004	تالقان	36.73	69.53	AF	Takhār		64256		790	Asia/Kabul
1123343	Tagow Bāy	35.7016667	66.0613889	AF	Sar-e Pol		9096		1845	Asia/Kabul
1123424	تگاب	34.85	69.64	AF	Kāpīsā		6400		1453	Asia/Kabul
1125155	شيندند	33.3	62.14	AF	Herat Province		29264		1071	Asia/Kabul
1125444	Sheberghān	36.6672222	65.7536111	AF	Jowzjān		55641		362	Asia/Kabul
1125896	Shāhrag	34.1083333	64.3033333	AF	Velāyat-e Ghowr		15967		2393	Asia/Kabul
1127110	Sar-e Pol	36.2155556	65.9363889	AF	Sar-e Pol		52121		629	Asia/Kabul
1127547	Sangīn	32.0733333	64.8338889	AF	Velāyat-e Helmand		13579		892	Asia/Kabul
1127628	Sang-e Chārak	35.8497222	66.4369444	AF	Sar-e Pol		15377		1547	Asia/Kabul
1127768	Samangān	36.2652778	68.0166667	AF	Velāyat-e Samangān		47823		960	Asia/Kabul
1128239	Rūdbār	30.15	62.6	AF	Velāyat-e Nīmrūz		11034		573	Asia/Kabul
1128265	Rostāq	37.1275	69.8305556	AF	Takhār		25636		1323	Asia/Kabul
1129516	Qarqīn	37.4127778	66.0472222	AF	Jowzjān		15018		250	Asia/Kabul
1129636	Qarchī Gak	37.0355556	66.7888889	AF	Velāyat-e Balkh		8942		298	Asia/Kabul
1129648	Qarāvol	37.2211111	68.78	AF	Kunduz Province		24544		327	Asia/Kabul
1129678	Qareh Bāgh	34.9405556	61.7775	AF	Herat Province		12412		950	Asia/Kabul
1130065	Qal`eh Shahr	35.5483333	65.5677778	AF	Sar-e Pol		7756		2159	Asia/Kabul
1130131	قلات	32.1	66.91	AF	Zabul Province		12191		1535	Asia/Kabul
1130490	Pol-e Khomrī	35.9425	68.7191667	AF	Velāyat-e Baghlān		56369		832	Asia/Kabul
1130497	پلٔ علم	33.98	69.03	AF	Lowgar		13247		1916	Asia/Kabul
1131162	Panjāb	34.3875	67.0233333	AF	Velāyat-e Bāmīān		13471		2707	Asia/Kabul
1131316	Paghmān	34.5875	68.9533333	AF	Kabul		49157		2276	Asia/Kabul
1131462	اروزگان	32.92	66.63	AF	Orūzgān Province		13388		2010	Asia/Kabul
1132495	Nahrīn	36.0652778	69.1338889	AF	Velāyat-e Baghlān		22363		1156	Asia/Kabul
1133270	Mīr Bachcheh Kowt	34.7488889	69.1191667	AF	Kabul		5405		1691	Asia/Kabul
1133310	Mīrābād	30.4352778	61.8347222	AF	Velāyat-e Nīmrūz		14160		499	Asia/Kabul
1133574	Mehtar Lām	34.6713889	70.2094444	AF	Laghmān		17345		768	Asia/Kabul
1133616	Mazār-e Sharīf	36.7069444	67.1122222	AF	Velāyat-e Balkh		303282		369	Asia/Kabul
1134720	لشكر گاه	31.58	64.36	AF	Velāyat-e Helmand		43934		775	Asia/Kabul
1134762	Lar Gerd	35.4897222	66.6636111	AF	Jowzjān		11635		1867	Asia/Kabul
1135158	Kūshk	33.2961111	61.9527778	AF	Herat Province		16952		1126	Asia/Kabul
1135689	Kondūz	36.72	68.86	AF	Kunduz Province		161902		394	Asia/Kabul
1136469	خوست	33.3380556	69.9202778	AF	Khowst		96123		1178	Asia/Kabul
1136575	Tāshqorghān	36.6952778	67.6980556	AF	Velāyat-e Balkh		64933		460	Asia/Kabul
1136863	Khāsh	31.5291667	62.7925	AF	Velāyat-e Nīmrūz		15133		578	Asia/Kabul
1137148	Khandūd	36.9488889	72.3169444	AF	Velāyat-e Badakhshān		5521		2918	Asia/Kabul
