ID	Staat	Bundesland	Regierungsbezirk	Landkreis	Verwaltungszusammenschluss	Ort	Ortsteil	Gemeindeteil	Ort2	Längengrad	Breitengrad	Autokennzeichen
1	DE	BW	Tübingen	Alb-Donau-Kreis	-	Nellingen	Aichen	-	-	9.80932	48.5288	UL
2	DE	BW	Tübingen	Alb-Donau-Kreis	-	Nellingen	Oppingen	-	-	9.82886	48.5419	UL
3	DE	BW	Tübingen	Alb-Donau-Kreis	-	Merklingen	Widderstall	-	-	9.7135	48.5315	UL
4	DE	BW	Tübingen	Alb-Donau-Kreis	-	Laichingen	Machtolsheim	-	-	9.74305	48.4943	UL
5	DE	BW	Tübingen	Alb-Donau-Kreis	-	Laichingen	Suppingen	-	-	9.71299	48.4591	UL
6	DE	BW	Tübingen	Alb-Donau-Kreis	-	Laichingen	Feldstetten	-	-	9.62827	48.477	UL
7	DE	BW	Tübingen	Alb-Donau-Kreis	-	Heroldstatt	Ennabeuren	-	-	9.65107	48.4428	UL
8	DE	BW	Tübingen	Alb-Donau-Kreis	-	Berghülen	Bühlenhausen	-	-	9.78091	48.4599	UL
9	DE	BW	Tübingen	Alb-Donau-Kreis	-	Berghülen	Treffensbuch	-	-	9.79387	48.4804	UL
10	DE	BW	Tübingen	Alb-Donau-Kreis	-	Dornstadt	Scharenstetten	-	-	9.85217	48.515	UL
11	DE	BW	Tübingen	Landkreis Reutlingen	-	Römerstein	Zainingen	-	-	9.54729	48.483	RT
12	DE	BW	Stuttgart	Landkreis Göppingen	-	Geislingen an der Steige	Türkheim	-	-	9.80322	48.586	GP
13	DE	BW	Stuttgart	Landkreis Göppingen	-	Geislingen an der Steige	Aufhausen	-	-	9.76622	48.5865	GP
14	DE	BW	Tübingen	Alb-Donau-Kreis	-	Blaubeuren	Sonderbuch	-	-	9.81177	48.4174	UL
15	DE	BW	Tübingen	Alb-Donau-Kreis	-	Blaubeuren	Asch	-	-	9.81953	48.4379	UL
16	DE	BW	Tübingen	Alb-Donau-Kreis	-	Blaubeuren	Gerhausen	-	-	9.80028	48.3996	UL
17	DE	BW	Tübingen	Alb-Donau-Kreis	-	Blaubeuren	Seißen	-	-	9.7449	48.4171	UL
18	DE	BW	Tübingen	Alb-Donau-Kreis	-	Blaubeuren	Wennenden	-	-	9.7449	48.4375	UL
19	DE	BW	Tübingen	Landkreis Reutlingen	-	Römerstein	Donnstetten	-	-	9.56578	48.5161	RT
20	DE	BW	Tübingen	Landkreis Biberach	-	Bad Schussenried	Dunzenhausen	-	-	9.68341	48.0186	BC
21	DE	BW	Tübingen	Landkreis Biberach	-	Eberhardzell	Füramoos	-	-	9.8934	47.9977	BC
22	DE	BW	Tübingen	Landkreis Biberach	-	Eberhardzell	Füramoos	Altbellamont	-	9.906	48.0002	BC
23	DE	BW	Tübingen	Landkreis Biberach	-	Biberach an der Riß	Bergerhausen	-	-	9.81281	48.1008	BC
24	DE	BW	Tübingen	Kreisfreie Stadt Ulm	-	Ulm	Jungingen	-	-	9.98902	48.4459	UL
13348	DE	SN	Dresden	Kreisfreie Stadt Dresden	-	Dresden	Langebrück	-	-	13.85	51.1333333	DD
13349	DE	RP	Koblenz	Landkreis Cochem-Zell	Verbandsgemeinde Kaisersesch	Leienkaul	-	-	-	7.0833333	50.2166667	COC
13350	DE	BW	Freiburg	Landkreis Konstanz	-	Aach	-	-	-	8.85	47.8511	KN
13351	DE	RP	-	Landkreis Trier-Saarburg	Verbandsgemeinde Trier-Land	Aach	-	-	-	6.6	49.7833	TR
13352	DE	NW	Köln	Kreisfreie Stadt Aachen	-	Aachen	-	-	-	6.1	50.7667	AC
13353	DE	BW	Stuttgart	Ostalbkreis	-	Aalen	-	-	-	10.1	48.8333	AA
13354	DE	HE	Darmstadt	Rheingau-Taunus-Kreis	-	Aarbergen	-	-	-	8.06667	50.25	RÜD
13355	DE	SH	-	Landkreis Steinburg	Amt Schenefeld	Aasbüttel	-	-	-	9.43333	54.0667	IZ
13356	DE	ST	-	Landkreis Wernigerode	Verwaltungsgemeinschaft Nordharz	Abbenrode	-	-	-	10.6167	51.9167	WR
13357	DE	ST	-	Landkreis Mansfelder Land	Verwaltungsgemeinschaft Wipper-Eine	Abberode	-	-	-	11.2833	51.6167	ML
13358	DE	BY	Mittelfranken	Landkreis Roth	-	Abenberg	-	-	-	10.9667	49.25	RH
13359	DE	BY	Niederbayern	Landkreis Kelheim	-	Abensberg	-	-	-	11.85	48.8167	KEH
13360	DE	RP	-	Landkreis Birkenfeld	Verbandsgemeinde Birkenfeld	Abentheuer	-	-	-	7.1	49.65	BIR
