		"average"	"relative"	"my-rijndael"	"gladman-serpent"	"mybotan-serpent"	"cryptopp-3des"	"cryptopp-blowfish"	"cryptopp-cast5"	"cryptopp-cast6"	"cryptopp-gost"	"cryptopp-rijndael"	"cryptopp-serpent"	"cryptopp-twofish"	"cryptopp-xtea"
	"icc-O1"	34,977	100.00%	46,864	27,123	30,029	9,628	47,495	42,988	37,346	25,531	39,456	32,779	58,783	21,703
	"icc-O2"	34,713	99.25%	47,630	27,905	30,195	10,824	47,304	40,598	32,506	26,839	39,638	32,291	58,961	21,870
	"icc-O3"	34,653	99.07%	47,534	27,873	30,196	10,825	47,329	40,706	32,488	26,659	39,283	32,112	58,979	21,851
	"icc-Os"	32,620	93.26%	46,541	27,950	8,254	9,691	47,424	40,688	32,685	25,404	39,510	32,626	58,911	21,759
	"msvc8-Ox"	29,168	83.39%	26,135	21,027	22,888	9,489	49,927	44,152	25,048	26,929	38,032	25,234	39,159	21,990
	"msvc8-O2"	29,098	83.19%	25,895	21,155	22,642	9,502	49,932	43,806	25,041	26,977	37,967	25,312	39,015	21,933
	"gcc41-O3-p4s-ofp"	28,863	82.52%	34,955	13,040	26,198	10,032	50,789	42,402	21,978	28,293	31,906	28,338	37,214	21,211
	"gcc41-O3-p4-ofp"	28,790	82.31%	34,493	13,290	26,846	10,014	50,874	42,229	20,954	28,245	32,154	28,071	37,091	21,221
	"gcc41-O3-p4s-ofp-ul"	28,770	82.25%	35,025	13,457	26,690	9,850	50,836	41,964	20,938	28,243	32,065	27,919	38,452	19,801
	"gcc41-O2-p4-ofp"	28,327	80.99%	33,855	12,723	26,763	7,856	50,704	41,287	20,529	28,335	31,633	27,958	37,086	21,195
	"gcc41-O2-p4s-ofp"	28,324	80.98%	34,230	12,653	26,539	7,802	50,723	41,168	20,483	28,277	32,095	27,190	37,493	21,233
	"gcc41-O2-p4s-ofp-ul"	28,287	80.87%	34,160	12,816	26,820	7,891	50,641	41,853	20,473	28,249	32,039	27,489	37,109	19,908
