"p4-3200-gentoo"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
"3des"	5,015	3,834	6,698	6,744	12,070	4,940		5,644		6,421
"anubis"								27,898		27,898
"blowfish"	5,922	44,355	40,781	50,448	47,299	32,170	52,662	49,685		40,415
"cast5"	15,103	33,618	36,062	32,018	37,528	35,514		41,494		33,048
"cast6"		18,816	13,349	18,824						16,996
"gost"		14,885	17,912	18,736						17,178
"khazad"								17,221		17,221
"loki97"		9,637								9,637
"noekeon"								31,621		31,621
"rijndael"	13,459	10,145	21,807	27,155	44,153	34,625	23,588	40,245	35,817	27,888
"saferplus"		4,888						3,463		4,175
"serpent"	6,910	14,962	30,775	12,266		10,914			29,171	17,059
"skipjack"								8,683		8,683
"twofish"	22,283	23,352	26,189	28,224		25,903		36,545		27,082
"xtea"		21,218	23,844	20,595				26,910		23,142
										
"p4-3200-debian-etch"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
"3des"	3,660	2,990	6,425	6,128	11,805	2,559		5,597		5,595
"anubis"								27,830		27,830
"blowfish"	6,381	28,317	32,452	42,647	45,298	30,945	49,558	51,800		35,925
"cast5"	19,020	32,804	28,363	8,262	33,483	28,596		41,712		27,463
"cast6"		19,411	12,710	5,457						12,526
"gost"		14,652	17,151	9,215						13,672
"khazad"								16,218		16,218
"loki97"		6,799								6,799
"noekeon"								33,443		33,443
"rijndael"	13,866	10,742	20,945	19,678	44,671	34,795	23,517	40,937	36,155	27,256
"saferplus"		4,563						3,448		4,006
"serpent"	5,278	7,176	7,553	4,439		6,601			29,106	10,658
"skipjack"								8,647		8,647
"twofish"	17,188	27,449	21,833	5,843		24,450		38,995		22,626
"xtea"		10,633	22,649	11,037				26,859		17,795
										
"p4-3200-debian-lenny"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
"3des"	7,397	3,017	5,920	3,345	11,972	2,393		7,463		5,930
"anubis"								33,347		33,347
"blowfish"	7,076	28,528	38,985	41,500	45,110	31,132	26,597	52,293		33,903
"cast5"	20,171	32,796	27,593	34,194	33,020	28,300		42,350		31,203
"cast6"		19,330	12,548	25,920						19,266
"gost"		14,619	18,593	24,516						19,243
"khazad"								9,641		9,641
"loki97"		6,803								6,803
"noekeon"								36,125		36,125
"rijndael"	14,615	10,764	24,204	25,717	42,616	34,414	23,591	42,051	36,341	28,257
"saferplus"		4,565						3,523		4,044
"serpent"	6,564	7,166	11,662	18,296		6,311			27,296	13,122
"skipjack"								10,137		10,137
"twofish"	18,483	27,281	21,678	28,673		23,873		47,517		27,918
"xtea"		10,617	23,135	17,969				26,747		19,617
										
"p4-3200-ubuntu-gutsy"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
"3des"	3,804	3,461	6,296	4,336	11,878	2,434		5,700		5,416
"anubis"								28,005		28,005
"blowfish"	6,593	40,597	37,651	31,028	45,176	30,707	49,416	51,821		36,623
"cast5"	21,024	26,482	29,277	28,300	33,835	28,386		41,704		29,858
"cast6"		16,559	12,697	15,276						14,844
"gost"		20,669	16,789	11,352						16,270
"khazad"								16,772		16,772
"loki97"		11,395								11,395
"noekeon"								32,690		32,690
"rijndael"	14,028	12,769	21,926	20,714	44,485	34,379	23,293	42,247	35,626	27,719
"saferplus"		5,213						3,036		4,124
"serpent"	5,119	9,806	7,110	11,624		6,291			28,183	11,646
"skipjack"								8,985		8,985
"twofish"	16,997	31,124	22,810	28,770		23,370		34,083		26,192
"xtea"		21,858	23,272	11,062				26,936		20,782
										
"p4-3200-fedora8"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
"3des"	2,246	3,337	7,311	7,241	11,974	3,868		3,792		5,681
"anubis"								17,209		17,209
"blowfish"	6,406	41,066	33,262	34,668	45,253	43,517	45,177	47,499		37,106
"cast5"	20,412	35,220	35,071	30,393	28,801	40,331		26,615		30,978
"cast6"		14,774	12,541	21,596						16,304
"gost"		15,387	20,854	20,532						18,924
"khazad"								12,805		12,805
"loki97"		8,854								8,854
"noekeon"								31,769		31,769
"rijndael"	14,363	10,217	26,188	19,392	42,874	34,541	20,742	24,742	33,573	25,181
"saferplus"		4,413						3,051		3,732
"serpent"	6,465	5,465	30,300	7,968		7,541			24,503	13,183
"skipjack"								4,823		4,823
"twofish"	16,946	32,131	24,744	17,507		20,931		34,808		24,511
"xtea"		16,894	23,521	13,948				26,409		20,193
										
"p4-3200-average"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
"3des"	4,424	3,328	6,530	5,559	11,940	3,239		5,639		5,808
"anubis"								26,858		26,858
"blowfish"	6,476	36,573	36,626	40,058	45,627	33,694	44,682	50,620		36,794
"cast5"	19,146	32,184	31,273	26,633	33,333	32,225		38,775		30,510
"cast6"		17,778	12,769	17,414						15,987
"gost"		16,042	18,260	16,870						17,057
"khazad"								14,532		14,532
"loki97"		8,697								8,697
"noekeon"								33,130		33,130
"rijndael"	14,066	10,928	23,014	22,531	43,760	34,551	22,946	38,044	35,502	27,260
"saferplus"		4,728						3,304		4,016
"serpent"	6,067	8,915	17,480	10,919		7,532			27,652	13,134
"skipjack"								8,255		8,255
"twofish"	18,379	28,267	23,451	21,803		23,705		38,390		25,666
"xtea"		16,244	23,284	14,922				26,772		20,306
										
"cel-2660-debian-etch"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
"3des"	3,012	2,434	5,543	6,019	9,994	2,116		4,570		4,813
"anubis"								22,782		22,782
"blowfish"	5,376	23,742	27,060	34,712	36,864	25,174	40,599	42,487		29,502
"cast5"	15,982	26,872	23,481	6,793	27,765	23,575		34,347		22,688
"cast6"		16,587	9,797	4,492						10,292
"gost"		12,092	13,254	7,546						10,964
"khazad"								13,353		13,353
"loki97"		5,755								5,755
"noekeon"								27,575		27,575
"rijndael"	11,689	8,859	17,196	16,165	37,044	28,595	19,715	33,607	29,896	22,529
"saferplus"		3,759						2,840		3,299
"serpent"	4,348	5,880	6,143	3,658		5,474			24,028	8,787
"skipjack"								7,119		7,119
"twofish"	14,337	24,547	18,076	4,717		19,723		30,906		18,718
"xtea"		8,801	18,610	9,079				22,147		14,659
										
"p3-1000-debian-etch"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
