graph,num_vertex,num_edge,degrees,girth,vertex_conn,edge_conn,components,components1,components2,tau_num_vertex,tau_num_edge,tau_min_degree,tau_max_degree,tau_avg_degree,tau_regularity,min_UECBOs,spectral_gap,expansion
:Do?CQGr,5,8,"8,2,2,2,2",0,1,2,1,1,1,16,32,4,4,4,4,24,2,2
:DkGCQGr,5,8,"7,3,2,2,2",3,1,2,1,1,1,16,32,4,4,4,4,24,1.87224,1.5
:Dk?cQGr,5,8,"6,4,2,2,2",0,1,2,1,1,1,16,32,4,4,4,4,24,1.08239,1
:Dk@_QGr,5,8,"6,4,2,2,2",3,1,2,1,1,1,16,32,4,4,4,4,24,2.35064,2
:Dk?EQGr,5,8,"5,5,2,2,2",3,1,2,1,1,1,16,32,4,4,4,4,24,1.68474,1.5
:Dk@I@Gr,5,8,"5,5,2,2,2",3,2,2,1,1,1,16,32,4,4,4,4,24,3,2
:DgGcQGr,5,8,"6,3,3,2,2",4,1,2,1,1,1,16,32,4,4,4,4,24,1.47363,1.5
:DgH_QGr,5,8,"6,3,3,2,2",3,1,2,1,1,1,16,32,4,4,4,4,24,1.56155,1.5
:DgI_PGr,5,8,"6,3,3,2,2",3,1,2,1,1,1,16,32,4,4,4,4,24,2.35064,1.5
:DgGEQGr,5,8,"5,4,3,2,2",3,2,2,1,1,1,16,32,4,4,4,4,24,1.7923,1.5
:DgHEAGr,5,8,"5,4,3,2,2",3,1,2,1,1,1,16,32,4,4,4,4,24,1.21432,1
:DgGIPGr,5,8,"5,4,3,2,2",3,1,2,1,1,1,16,32,4,4,4,4,24,1.91745,1.5
:DgHI@Gr,5,8,"5,4,3,2,2",3,2,2,1,1,1,16,32,4,4,4,4,24,2.3174,1.5
:DgII@Cr,5,8,"5,4,3,2,2",4,1,2,1,1,1,16,32,4,4,4,4,24,1.47363,1.5
:Dka_@Cb,5,8,"6,3,3,2,2",3,1,2,1,1,1,16,32,4,4,4,4,24,1.87224,1
:Dk?IPGb,5,8,"5,4,3,2,2",3,1,2,1,1,1,16,32,4,4,4,4,24,1.68474,1
:Dk@I@Gb,5,8,"5,4,3,2,2",3,2,2,1,1,1,16,32,4,4,4,4,24,3,2
:DkAI@Cb,5,8,"5,4,3,2,2",3,1,2,1,1,1,16,32,4,4,4,4,24,2.35064,1.5
:DgGGhCb,5,8,"4,4,4,2,2",3,1,2,1,1,1,16,32,4,4,4,4,24,1.91745,1
:DgHGgCb,5,8,"4,4,4,2,2",3,2,2,1,1,1,16,32,4,4,4,4,24,2.3174,2
:Dk?GhCa,5,8,"4,4,4,2,2",0,1,2,1,1,1,16,32,4,4,4,4,24,0.732051,1
:Dk@GgCa,5,8,"4,4,4,2,2",4,2,2,1,1,1,16,32,4,4,4,4,24,2.44949,2
:DaHEaK~,5,8,"4,4,3,3,2",5,2,2,1,1,1,16,32,4,4,4,4,24,1.38197,1.5
:DaHIQK~,5,8,"4,4,3,3,2",3,2,2,1,1,1,16,32,4,4,4,4,24,2.53413,1.5
:DaWcaK~,5,8,"5,3,3,3,2",3,2,2,1,1,1,16,32,4,4,4,4,24,1.7923,1.5
:DaX_aK~,5,8,"5,3,3,3,2",4,2,2,1,1,1,16,32,4,4,4,4,24,2.44949,1.5
:DaY_QK~,5,8,"5,3,3,3,2",3,2,2,1,1,1,16,32,4,4,4,4,24,2.3174,1.5
:DaWEaK~,5,8,"4,4,3,3,2",3,2,2,1,1,1,16,32,4,4,4,4,24,1.7923,1.5
:DaWIQK~,5,8,"4,4,3,3,2",3,2,2,1,1,1,16,32,4,4,4,4,24,2.53413,1.5
:DaqI@Cb,5,8,"5,3,3,3,2",3,1,2,1,1,1,16,32,4,4,4,4,24,1.56155,1
:DaoChGb,5,8,"4,4,3,3,2",3,2,2,1,1,1,16,32,4,4,4,4,24,2.3174,1.5
:DaoGhCb,5,8,"4,4,3,3,2",3,2,2,1,1,1,16,32,4,4,4,4,24,1.7923,1.5
:DgPe?Gr,5,8,"5,3,3,3,2",4,1,2,1,1,1,16,32,4,4,4,4,24,1.47363,1
:DgP_HGr,5,8,"4,4,3,3,2",3,1,2,1,1,1,16,32,4,4,4,4,24,1.21432,1
:DgP_WGr,5,8,"4,4,3,3,2",3,2,2,1,1,1,16,32,4,4,4,4,24,1.7923,1
:DgXI?Cb,5,8,"5,3,3,3,2",3,1,2,1,3,3,24,60,5,5,5,5,32,2.65812,1.5
:DgW?XGb,5,8,"4,4,3,3,2",3,1,2,1,1,1,16,32,4,4,4,4,24,1.91744,1
:DgWCWGb,5,8,"4,4,3,3,2",3,2,2,1,1,1,16,32,4,4,4,4,24,1.7923,1.5
DN{,5,8,"4,4,3,3,2",3,2,2,1,3,3,24,60,5,5,5,5,32,2.96548,2
:Dk?ChCa,5,8,"4,4,3,3,2",4,1,2,1,1,1,16,32,4,4,4,4,24,1.47363,1
:Dk@CgCa,5,8,"4,4,3,3,2",4,2,2,1,1,1,16,32,4,4,4,4,24,2.44949,1.5
:D_JGgCb,5,8,"4,3,3,3,3",3,1,2,1,1,1,16,32,4,4,4,4,24,1.56155,1
Dr{,5,8,"4,3,3,3,3",3,3,3,1,1,1,28,64,4,5,4.57143,-1,20,3.23607,2
:Dao?hCa,5,8,"4,3,3,3,3",5,2,2,1,1,1,16,32,4,4,4,4,24,1.38197,1
:DaoCgCa,5,8,"4,3,3,3,3",3,2,3,1,3,3,24,60,5,5,5,5,32,2.53414,1.5
:DaoGgCQ,5,8,"4,3,3,3,3",3,2,2,1,1,1,16,32,4,4,4,4,24,1.7923,1
