graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
:Es?CQGrPN,6 / 10,"10,2,2,2,2,2",1 / 2,0,2.23607,2,32 / 80,5 - 5 - 5,1,120
:EoGCQGrPN,6 / 10,"9,3,2,2,2,2",1 / 2,3,1.94214,1.5,32 / 80,5 - 5 - 5,1,120
:Eo?cQGrPN,6 / 10,"8,4,2,2,2,2",1 / 2,0,1.23931,1,32 / 80,5 - 5 - 5,1,120
:Eo@_QGrPN,6 / 10,"8,4,2,2,2,2",1 / 2,3,2.28429,1.33333,32 / 80,5 - 5 - 5,1,120
:Eo?EQGrPN,6 / 10,"7,5,2,2,2,2",1 / 2,3,1.64897,1,32 / 80,5 - 5 - 5,1,120
:Eo@I@GrPN,6 / 10,"7,5,2,2,2,2",1 / 2,3,2.75772,1.66667,32 / 80,5 - 5 - 5,1,120
:Eo?CYGrPN,6 / 10,"6,6,2,2,2,2",1 / 2,0,1,0.666667,32 / 80,5 - 5 - 5,1,120
:Eo?ChGrPN,6 / 10,"6,6,2,2,2,2",1 / 2,3,2.17325,1.33333,32 / 80,5 - 5 - 5,1,120
:Eo@GwCbPN,6 / 10,"6,6,2,2,2,2",2 / 2,3,3.37228,2,32 / 80,5 - 5 - 5,1,120
:EkGcQGrPN,6 / 10,"8,3,3,2,2,2",1 / 2,4,1.41421,1.33333,32 / 80,5 - 5 - 5,1,120
:EkH_QGrPN,6 / 10,"8,3,3,2,2,2",1 / 2,3,1.70927,1.5,32 / 80,5 - 5 - 5,1,120
:EkJ_PGbPN,6 / 10,"8,3,3,2,2,2",1 / 2,3,2.28429,1.33333,32 / 80,5 - 5 - 5,1,120
:EkGEQGrPN,6 / 10,"7,4,3,2,2,2",1 / 2,3,1.83296,1.33333,32 / 80,5 - 5 - 5,1,120
:EkHEAGrPN,6 / 10,"7,4,3,2,2,2",1 / 2,3,1.37988,1,32 / 80,5 - 5 - 5,1,120
:EkHI@GrPN,6 / 10,"7,4,3,2,2,2",1 / 2,3,1.78814,1.33333,32 / 80,5 - 5 - 5,1,120
:EkGMPGbPN,6 / 10,"7,4,3,2,2,2",1 / 2,3,1.73205,1,32 / 80,5 - 5 - 5,1,120
:EkHM@GbPN,6 / 10,"7,4,3,2,2,2",1 / 2,3,2.4257,1.5,32 / 80,5 - 5 - 5,1,120
:EkJM@CaPN,6 / 10,"7,4,3,2,2,2",1 / 2,4,1.41421,1,32 / 80,5 - 5 - 5,1,120
:EkGCYGrPN,6 / 10,"6,5,3,2,2,2",1 / 2,4,1.44504,1,32 / 80,5 - 5 - 5,1,120
:EkGChGrPN,6 / 10,"6,5,3,2,2,2",2 / 2,3,2.09715,1.5,32 / 80,5 - 5 - 5,1,120
:EkHCgGrPN,6 / 10,"6,5,3,2,2,2",1 / 2,3,1.39891,1,32 / 80,5 - 5 - 5,1,120
:EkGCxGbPN,6 / 10,"6,5,3,2,2,2",1 / 2,3,2.16619,1.33333,32 / 80,5 - 5 - 5,1,120
:EkHCwGbPN,6 / 10,"6,5,3,2,2,2",1 / 2,3,1.98104,1.33333,32 / 80,5 - 5 - 5,1,120
:EkHGwCbPN,6 / 10,"6,5,3,2,2,2",2 / 2,3,2.50952,1.5,32 / 80,5 - 5 - 5,1,120
:EkGKxCaPN,6 / 10,"6,5,3,2,2,2",1 / 2,3,0.960983,0.666667,32 / 80,5 - 5 - 5,1,120
:EkHKwCaPN,6 / 10,"6,5,3,2,2,2",1 / 2,3,1.83296,1.33333,32 / 80,5 - 5 - 5,1,120
:Eor_@CaLN,6 / 10,"8,3,3,2,2,2",1 / 2,3,1.94214,1,32 / 80,5 - 5 - 5,1,120
:Eo?MPGbLN,6 / 10,"7,4,3,2,2,2",1 / 2,3,1.64897,1,32 / 80,5 - 5 - 5,1,120
:Eo@M@GbLN,6 / 10,"7,4,3,2,2,2",1 / 2,3,2.75772,1.33333,32 / 80,5 - 5 - 5,1,120
:EoBM@CaLN,6 / 10,"7,4,3,2,2,2",1 / 2,3,2.28429,1,32 / 80,5 - 5 - 5,1,120
:Eo?CxGbLN,6 / 10,"6,5,3,2,2,2",1 / 2,3,2.17325,1,32 / 80,5 - 5 - 5,1,120
