graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
EC~w,6 / 10,"5,5,3,3,2,2",2 / 2,3,3.11106,1.66667,48 / 144,6 - 6 - 6,3,160
EEzw,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.84462,1.66667,56 / 156,5 - 5.57143 - 6,1,100
EEnw,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.97458,1.66667,48 / 144,6 - 6 - 6,3,160
EFzo,6 / 10,"4,4,3,3,3,3",3 / 3,3,3.06695,1.66667,72 / 204,5 - 5.66667 - 6,2,82
EFzW,6 / 10,"4,4,4,3,3,2",2 / 2,3,3.11154,1.66667,56 / 156,5 - 5.57143 - 6,1,100
EQzw,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.45167,1.33333,48 / 144,6 - 6 - 6,3,160
EQ~o,6 / 10,"4,4,3,3,3,3",2 / 3,3,2.37228,1.33333,72 / 224,4 - 6.22222 - 7,8,144
EUZw,6 / 10,"5,3,3,3,3,3",3 / 3,3,2.83146,1.66667,60 / 160,5 - 5.33333 - 6,1,108
EUzo,6 / 10,"4,4,3,3,3,3",3 / 3,3,2.58655,1.33333,68 / 194,4 - 5.70588 - 7,2,108
EUzW,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.55518,1.33333,56 / 156,5 - 5.57143 - 6,1,100
ETzo,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.76794,1.5,48 / 144,6 - 6 - 6,3,160
ETzg,6 / 10,"4,4,4,4,2,2",2 / 2,3,2.56155,1.33333,48 / 144,6 - 6 - 6,3,160
