graph,num_vertex,num_edge,degrees,girth,vertex_conn,edge_conn,components,components1,components2,tau_num_vertex,tau_num_edge,tau_min_degree,tau_max_degree,tau_avg_degree,tau_regularity,min_UECBOs,spectral_gap,expansion
F?~v_,7,12,"4,4,4,3,3,3,3",4,3,3,1,3,3,216,648,4,7,6,-1,84,3.4641,2
FCZvo,7,12,"5,4,3,3,3,3,3",3,2,3,1,4,4,168,592,5,8,7.04762,-1,240,2.20554,1.33333
FCxvo,7,12,"5,4,3,3,3,3,3",3,3,3,1,1,1,160,524,6,8,6.55,-1,514,2.70417,1.66667
FCzro,7,12,"4,4,4,3,3,3,3",3,3,3,1,2,2,184,628,5,8,6.82609,-1,246,2.36151,1.33333
FEhfw,7,12,"6,3,3,3,3,3,3",3,3,3,1,1,1,124,384,6,7,6.19355,-1,624,2.64575,1.66667
FEjfo,7,12,"5,4,3,3,3,3,3",3,3,3,1,1,1,156,514,5,8,6.58974,-1,412,2.5522,1.66667
FEhvo,7,12,"5,4,3,3,3,3,3",3,3,3,1,1,1,148,492,5,8,6.64865,-1,560,2.25469,1.33333
FEzf_,7,12,"4,4,4,3,3,3,3",3,3,3,1,1,1,184,604,5,8,6.56522,-1,422,2.6167,1.66667
FEnf_,7,12,"4,4,4,3,3,3,3",3,3,3,1,1,1,172,568,5,8,6.60465,-1,218,2.77117,1.66667
FEnbo,7,12,"4,4,4,3,3,3,3",3,3,3,1,4,4,168,552,6,7,6.57143,-1,400,2.75226,1.66667
FEnbg,7,12,"4,4,4,3,3,3,3",3,3,3,1,2,2,172,586,5,8,6.81395,-1,192,2.32406,1.33333
FQzV_,7,12,"4,4,4,3,3,3,3",3,3,3,1,3,3,172,596,4,8,6.93023,-1,454,2.06888,1.33333
FQyv_,7,12,"4,4,4,3,3,3,3",3,3,3,1,2,2,168,568,5,8,6.7619,-1,356,2.31229,1.33333
FQyuo,7,12,"4,4,4,3,3,3,3",3,3,3,1,1,1,156,514,5,8,6.58974,-1,196,2.08901,1.33333
FQyqw,7,12,"4,4,4,3,3,3,3",3,2,3,1,4,4,168,592,5,8,7.04762,-1,240,1.9358,1.33333
