graph,num_vertex,num_edge,degrees,girth,vertex_conn,edge_conn,components,components1,components2,tau_num_vertex,tau_num_edge,tau_min_degree,tau_max_degree,tau_avg_degree,tau_regularity,min_UECBOs,spectral_gap,expansion
F?b~w,7,12,"6,6,3,3,2,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,3.30022,2
F?rvw,7,12,"6,5,3,3,3,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.90881,1.66667
F?q~w,7,12,"6,5,4,3,2,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,3.05739,1.66667
F?r~o,7,12,"5,5,4,3,3,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,3.13235,1.66667
F?zVw,7,12,"6,4,4,3,3,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,720,2.74943,1.66667
F?zvo,7,12,"5,4,4,3,3,3,2",3,2,2,1,2,2,144,480,6,7,6.66667,-1,636,2.88356,1.66667
F?zvg,7,12,"5,5,3,3,3,3,2",3,2,2,1,2,2,144,480,6,7,6.66667,-1,492,2.77696,1.66667
F?z^o,7,12,"5,5,4,3,3,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,720,2.96545,1.66667
F?z\w,7,12,"5,5,5,3,2,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,3.21039,1.66667
F?~v_,7,12,"4,4,4,3,3,3,3",4,3,3,1,3,3,216,648,4,7,6,-1,84,3.4641,2
FCRvw,7,12,"6,5,3,3,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.72672,1.5
FCR~o,7,12,"5,5,3,3,3,3,2",3,2,2,1,8,8,144,520,5,8,7.22222,-1,192,2.61393,1.66667
FCrfw,7,12,"6,4,4,3,3,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,720,2.9534,1.66667
FCpvw,7,12,"6,4,3,3,3,3,2",3,2,2,1,1,1,120,380,6,7,6.33333,-1,648,2.69639,1.66667
FCqnw,7,12,"6,4,4,4,2,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,3.21039,2
FCrvo,7,12,"5,4,4,3,3,3,2",3,2,2,1,2,2,136,456,5,8,6.70588,-1,492,2.73334,1.66667
FCrvg,7,12,"5,5,4,3,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.8956,1.5
FCrrw,7,12,"5,5,3,3,3,3,2",3,2,2,1,2,2,136,456,5,8,6.70588,-1,540,2.84916,1.66667
FCrno,7,12,"5,4,4,4,3,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,720,2.73869,1.66667
FCrng,7,12,"5,5,4,3,3,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.80467,1.66667
FCrlw,7,12,"5,5,4,4,2,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.80389,1.66667
FCrjw,7,12,"5,5,4,3,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.93602,1.5
FCZfw,7,12,"6,4,3,3,3,3,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.54953,1.5
FCZVw,7,12,"6,4,3,3,3,3,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.24782,1.33333
FCZNw,7,12,"6,4,4,3,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.61397,1.5
FCY^w,7,12,"6,4,4,3,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.38836,1.33333
FCZvo,7,12,"5,4,3,3,3,3,3",3,2,3,1,4,4,168,592,5,8,7.04762,-1,240,2.20554,1.33333
FCZvg,7,12,"5,5,3,3,3,3,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.44472,1.33333
FCZno,7,12,"5,4,4,3,3,3,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.34645,1.33333
FCZng,7,12,"5,5,3,3,3,3,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.29241,1.33333
FCZmw,7,12,"5,5,4,3,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.4184,1.33333
FCZ^o,7,12,"5,4,4,3,3,3,2",3,2,2,1,8,8,144,520,5,8,7.22222,-1,192,2.32885,1.33333
FCZ^g,7,12,"5,5,3,3,3,3,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.42393,1.33333
FCZ\w,7,12,"5,5,4,3,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.49656,1.33333
FCfvo,7,12,"5,4,4,4,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.6834,1.33333
FCfvg,7,12,"5,5,4,4,2,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.55703,1.33333
FCfvW,7,12,"5,5,4,3,3,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,720,2.51534,1.33333
FCzfo,7,12,"5,4,4,3,3,3,2",3,2,2,1,2,2,144,480,6,7,6.66667,-1,636,2.72617,1.66667
FCzew,7,12,"5,4,4,4,3,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.74802,1.66667
FCzbw,7,12,"5,4,4,3,3,3,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.81207,1.5
FCxvo,7,12,"5,4,3,3,3,3,3",3,3,3,1,1,1,160,524,6,8,6.55,-1,514,2.70417,1.66667
FCxvW,7,12,"5,4,4,3,3,3,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.81865,1.5
FCxuw,7,12,"5,4,4,3,3,3,2",3,2,2,1,1,1,120,380,6,7,6.33333,-1,648,2.73771,1.66667
FCzro,7,12,"4,4,4,3,3,3,3",3,3,3,1,2,2,184,628,5,8,6.82609,-1,246,2.36151,1.33333
FCvfo,7,12,"5,4,4,3,3,3,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.56185,1.33333
FCvfg,7,12,"5,4,4,3,3,3,2",3,2,2,1,2,2,136,456,5,8,6.70588,-1,240,2.35531,1.33333
FCvfW,7,12,"5,4,4,4,3,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,720,2.4094,1.33333
FCvdw,7,12,"5,4,4,4,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.59937,1.33333
FCvbw,7,12,"5,4,4,3,3,3,2",3,2,2,1,2,2,136,456,5,8,6.70588,-1,540,2.39302,1.33333
FCuvo,7,12,"5,4,4,4,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.60377,1.5
