graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
G?`vvo,8 / 14,"5,5,3,3,3,3,3,3",2 / 3,3,2.23265,1.5,432 / 1704,6 - 7.88889 - 9,6,864
G?brvo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.58292,1.5,504 / 1836,5 - 7.28571 - 9,2,646
G?ovfw,8 / 14,"6,4,3,3,3,3,3,3",2 / 3,3,2.27113,1.25,392 / 1528,6 - 7.79592 - 9,1,1688
G?ovvg,8 / 14,"5,5,3,3,3,3,3,3",2 / 3,3,1.90138,1,392 / 1528,6 - 7.79592 - 9,1,3402
G?qrfw,8 / 14,"6,4,3,3,3,3,3,3",3 / 3,3,2.43037,1.25,336 / 1256,7 - 7.47619 - 9,1,3348
G?qvfo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.29291,1.25,440 / 1672,5 - 7.6 - 9,1,454
G?qvbw,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.42508,1.25,440 / 1704,6 - 7.74545 - 9,1,1198
G?qvbs,8 / 14,"5,5,3,3,3,3,3,3",3 / 3,3,2.39822,1.5,368 / 1400,6 - 7.6087 - 9,1,2530
G?qrvo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.32971,1.25,416 / 1596,6 - 7.67308 - 9,1,774
G?qrvg,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.07272,1.25,416 / 1632,6 - 7.84615 - 9,2,3064
G?qrno,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,1.91693,1,408 / 1572,6 - 7.70588 - 9,1,2912
G?o~fo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.53289,1.25,456 / 1732,6 - 7.59649 - 9,1,1092
G?o~fc,8 / 14,"5,5,3,3,3,3,3,3",3 / 3,3,2.70156,1.5,384 / 1456,7 - 7.58333 - 8,2,2464
G?zTfo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.51633,1.25,392 / 1484,6 - 7.57143 - 9,1,1712
G?zTbw,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.46283,1.25,392 / 1492,6 - 7.61224 - 9,1,1234
G?zVf_,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,4,2.56155,1.5,512 / 1848,4 - 7.21875 - 9,1,178
G?zV`w,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,2.54352,1.5,512 / 1944,4 - 7.59375 - 9,2,1172
G?zTrg,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,1.92335,1,456 / 1768,4 - 7.75439 - 9,1,1260
GCQbvw,8 / 14,"6,4,3,3,3,3,3,3",2 / 3,3,2.093,1.25,360 / 1440,6 - 8 - 9,3,2064
GCQfrw,8 / 14,"5,5,3,3,3,3,3,3",2 / 3,3,2.31873,1.5,408 / 1648,6 - 8.07843 - 10,6,1224
GCR`vw,8 / 14,"6,4,3,3,3,3,3,3",3 / 3,3,2.64783,1.5,344 / 1276,7 - 7.4186 - 9,1,3364
GCRdvo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.40836,1.5,416 / 1592,6 - 7.65385 - 10,2,1684
GCRdrw,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.11274,1.25,416 / 1628,5 - 7.82692 - 9,1,1848
GCRdrs,8 / 14,"5,5,3,3,3,3,3,3",3 / 3,3,2.44274,1.5,360 / 1360,6 - 7.55556 - 9,1,2550
GCR`~o,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.58687,1.5,456 / 1780,6 - 7.80702 - 10,3,2372
GCQvVo,8 / 14,"5,4,4,3,3,3,3,3",2 / 3,3,1.86186,1.25,408 / 1668,5 - 8.17647 - 10,7,992
GCQvRw,8 / 14,"5,4,4,3,3,3,3,3",2 / 3,3,1.86226,1.25,408 / 1672,5 - 8.19608 - 10,6,3312
GCQr^o,8 / 14,"5,4,4,3,3,3,3,3",2 / 3,3,1.85483,1.25,432 / 1832,6 - 8.48148 - 10,21,832
GCp`f{,8 / 14,"7,3,3,3,3,3,3,3",3 / 3,3,2.58145,1.5,252 / 896,7 - 7.11111 - 8,1,4320
GCpdfw,8 / 14,"6,4,3,3,3,3,3,3",3 / 3,3,2.11682,1.25,308 / 1174,6 - 7.62338 - 9,1,3636
GCpbfw,8 / 14,"6,4,3,3,3,3,3,3",3 / 3,3,2.40202,1.25,332 / 1242,6 - 7.48193 - 9,1,2736
GCpfdw,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.34282,1.25,404 / 1574,6 - 7.79208 - 9,1,1302
GCpfbw,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.08578,1.25,404 / 1582,5 - 7.83168 - 10,3,882
GCpf`{,8 / 14,"5,5,3,3,3,3,3,3",3 / 3,3,2.33287,1.5,356 / 1354,6 - 7.60674 - 10,2,2402
GCpdvg,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,1.93857,1,380 / 1476,6 - 7.76842 - 9,1,1570
GCpdrw,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,1.79209,1,380 / 1490,5 - 7.84211 - 9,1,1714
GCpdrk,8 / 14,"5,5,3,3,3,3,3,3",3 / 3,3,1.94374,1,324 / 1220,6 - 7.53086 - 9,1,3354
GCpbvg,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.30958,1.25,420 / 1646,5 - 7.8381 - 9,1,2348
GCpdno,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.12725,1.25,380 / 1490,6 - 7.84211 - 10,3,600
GCpdjs,8 / 14,"5,5,3,3,3,3,3,3",3 / 3,3,2.42887,1.5,348 / 1346,6 - 7.73563 - 9,1,2836
GCrbfo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.51894,1.25,404 / 1518,6 - 7.51485 - 9,1,1244
GCrbdw,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.50302,1.25,392 / 1484,6 - 7.57143 - 9,1,3132
GCrbbw,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.63873,1.5,396 / 1492,6 - 7.53535 - 9,2,1886
GCrbds,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.54059,1.25,396 / 1506,6 - 7.60606 - 9,1,1550
GCrbv_,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,2.55208,1.5,492 / 1862,5 - 7.56911 - 10,2,848
GCpvbo,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,2.56155,1.5,480 / 1796,5 - 7.48333 - 9,1,1188
GCpvdW,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,2.5522,1.5,480 / 1852,5 - 7.71667 - 9,1,548
GCpvV_,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,2.23877,1.25,452 / 1750,5 - 7.74336 - 10,1,686
GCpvPw,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,1.95593,1,452 / 1772,5 - 7.84071 - 9,1,1154
GCqjfo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.42699,1.5,384 / 1448,6 - 7.54167 - 9,1,2826
GCqjfc,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.07804,1.25,384 / 1476,6 - 7.6875 - 9,1,1754
GCXfew,8 / 14,"5,4,4,3,3,3,3,3",2 / 3,3,2.04909,1.25,432 / 1752,6 - 8.11111 - 9,6,1568
GCXevg,8 / 14,"5,4,4,3,3,3,3,3",2 / 3,3,2.00595,1.25,408 / 1672,5 - 8.19608 - 10,6,1176
GCZbfo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.46068,1.5,408 / 1536,6 - 7.52941 - 9,1,1522
GCZbew,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.34763,1.25,380 / 1436,6 - 7.55789 - 9,1,2908
GCZbc{,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.23607,1.25,408 / 1532,6 - 7.5098 - 9,1,1278
GCZfbo,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,2.03171,1.25,440 / 1700,5 - 7.72727 - 10,4,600
GCZepw,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,2.0619,1.25,452 / 1808,5 - 8 - 10,7,1222
GCZbsw,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,1.83331,1,440 / 1712,5 - 7.78182 - 9,1,1366
GCZVFo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.02384,1.25,404 / 1604,5 - 7.94059 - 10,1,2944
GCZVBw,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.04045,1.25,356 / 1356,6 - 7.61798 - 10,1,1242
GCZTfo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,1.95594,1,360 / 1408,6 - 7.82222 - 9,2,2894
GCZTfW,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,1.82983,1,332 / 1242,6 - 7.48193 - 9,1,1520
GCZTb[,8 / 14,"5,4,4,3,3,3,3,3",2 / 3,3,1.72474,1,360 / 1440,6 - 8 - 9,3,2064
GCZVfO,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,1.71932,1,420 / 1652,4 - 7.86667 - 9,2,2164
GCZVPw,8 / 14,"4,4,4,4,3,3,3,3",3 / 3,3,1.76768,1,420 / 1646,5 - 7.8381 - 9,1,1686
GCZTrW,8 / 14,"4,4,4,4,3,3,3,3",2 / 3,3,1.69567,1,408 / 1648,6 - 8.07843 - 10,6,1096
GCZLfo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,1.88443,1.25,380 / 1540,6 - 8.10526 - 10,3,2328
GCZLfg,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,1.90668,1.25,348 / 1344,6 - 7.72414 - 9,2,2806
GCZLbs,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,1.89737,1.25,348 / 1346,6 - 7.73563 - 9,1,3262
GCZJfo,8 / 14,"5,4,4,3,3,3,3,3",3 / 3,3,2.42831,1.5,380 / 1452,6 - 7.64211 - 9,1,2488
